Aspects of Pattern-Matching in Data-Oriented Parsing,"Data-Oriented Parsing (dop) ranks among the best parsing schemes, pairing
state-of-the art parsing accuracy to the psycholinguistic insight that larger
chunks of syntactic structures are relevant grammatical and probabilistic
units. Parsing with the dop-model, however, seems to involve a lot of CPU
cycles and a considerable amount of double work, brought on by the concept of
multiple derivations, which is necessary for probabilistic processing, but
which is not convincingly related to a proper linguistic backbone. It is
however possible to re-interpret the dop-model as a pattern-matching model,
which tries to maximize the size of the substructures that construct the parse,
rather than the probability of the parse. By emphasizing this memory-based
aspect of the dop-model, it is possible to do away with multiple derivations,
opening up possibilities for efficient Viterbi-style optimizations, while still
retaining acceptable parsing accuracy through enhanced context-sensitivity.",Data-Oriented Parsing - 0.00; dop - 0.25,parsing - 0.00,Data-Oriented Parsing - parsing - 0.00; dop - parsing - 0.98,"{'CumulativeMethodScore': 0.4428220518195979, 'CumulativeTaskScore': 0.4437546425059218, 'CumulativeMethodTaskPairScore': 0.4490252806115769}"
Selectional Restrictions in HPSG,"Selectional restrictions are semantic sortal constraints imposed on the
participants of linguistic constructions to capture contextually-dependent
constraints on interpretation. Despite their limitations, selectional
restrictions have proven very useful in natural language applications, where
they have been used frequently in word sense disambiguation, syntactic
disambiguation, and anaphora resolution. Given their practical value, we
explore two methods to incorporate selectional restrictions in the HPSG theory,
assuming that the reader is familiar with HPSG. The first method employs HPSG's
Background feature and a constraint-satisfaction component pipe-lined after the
parser. The second method uses subsorts of referential indices, and blocks
readings that violate selectional restrictions during parsing. While
theoretically less satisfactory, we have found the second method particularly
useful in the development of practical systems.",HPSG - 0.00,word sense disambiguation - 0.00; anaphora resolution - 0.00; syntacticĊdisambiguation - 1.44,HPSG - word sense disambiguation - 0.00; HPSG - anaphora resolution - 0.00; HPSG - syntacticĊdisambiguation - 3.05,"{'CumulativeMethodScore': 0.429681169589864, 'CumulativeTaskScore': 0.5511126297462995, 'CumulativeMethodTaskPairScore': 0.4669931017927036}"
Bunsetsu Identification Using Category-Exclusive Rules,"This paper describes two new bunsetsu identification methods using supervised
learning. Since Japanese syntactic analysis is usually done after bunsetsu
identification, bunsetsu identification is important for analyzing Japanese
sentences. In experiments comparing the four previously available
machine-learning methods (decision tree, maximum-entropy method, example-based
approach and decision list) and two new methods using category-exclusive rules,
the new method using the category-exclusive rules with the highest similarity
performed best.",decision list - 0.00; maximum-entropy - 4.66; decision tree - 0.41,bunsetsu - 1.76; B - 0.00; b - 0.20,decision list - bunsetsu - 4.65; maximum-entropy - bunsetsu - 12.54; maximum-entropy - b - 13.25; decision tree - bunsetsu - 5.36; decision tree - b - 2.34,"{'CumulativeMethodScore': 0.6882357609509652, 'CumulativeTaskScore': 0.589412776028158, 'CumulativeMethodTaskPairScore': 0.7496237188022677}"
Japanese Probabilistic Information Retrieval Using Location and Category Information,"Robertson's 2-poisson information retrieve model does not use location and
category information. We constructed a framework using location and category
information in a 2-poisson model. We submitted two systems based on this
framework to the IREX contest, Japanese language information retrieval contest
held in Japan in 1999. For precision in the A-judgement measure they scored
0.4926 and 0.4827, the highest values among the 15 teams and 22 systems that
participated in the IREX contest. We describe our systems and the comparative
experiments done when various parameters were changed. These experiments
confirmed the effectiveness of using location and category information.",2-poisson - 5.04,IREX retrieval - 4.57; Probabilistic Information Retrieval - 2.12,2-poisson - IREX retrieval - 17.47,"{'CumulativeMethodScore': 0.6868640416490992, 'CumulativeTaskScore': 0.8559734645384711, 'CumulativeMethodTaskPairScore': 0.5921542636028483}"
Microplanning with Communicative Intentions: The SPUD System,"The process of microplanning encompasses a range of problems in Natural
Language Generation (NLG), such as referring expression generation, lexical
choice, and aggregation, problems in which a generator must bridge underlying
domain-specific representations and general linguistic representations. In this
paper, we describe a uniform approach to microplanning based on declarative
representations of a generator's communicative intent. These representations
describe the results of NLG: communicative intent associates the concrete
linguistic structure planned by the generator with inferences that show how the
meaning of that structure communicates needed information about some
application domain in the current discourse context. Our approach, implemented
in the SPUD (sentence planning using description) microplanner, uses the
lexicalized tree-adjoining grammar formalism (LTAG) to connect structure to
meaning and uses modal logic programming to connect meaning to context. At the
same time, communicative intent representations provide a resource for the
process of NLG. Using representations of communicative intent, a generator can
augment the syntax, semantics and pragmatics of an incomplete sentence
simultaneously, and can assess its progress on the various problems of
microplanning incrementally. The declarative formulation of communicative
intent translates into a well-defined methodology for designing grammatical and
conceptual resources which the generator can use to achieve desired
microplanning behavior in a specified domain.",sentence planning using description - 1.63; LTAGG - 0.86; SPUD - 0.00; tree-adjoining grammar - 1.09,microplanning - 1.06; NLG - 0.00; referring expression generation - 0.18; NaturalĊLanguage Generation - 0.75; lexicalĊchoice - 0.68; and - 0.00; aggregation - 0.08,LTAGG - microplanning - 12.18; LTAGG - NLG - 6.93; SPUD - referring expression generation - 1.04; SPUD - and - 0.00; SPUD - aggregation - 0.62; SPUD - microplanning - 5.72; SPUD - NLG - 0.00; tree-adjoining grammar - referring expression generation - 4.90; tree-adjoining grammar - and - 5.19; tree-adjoining grammar - aggregation - 5.60; tree-adjoining grammar - microplanning - 7.93; tree-adjoining grammar - NLG - 4.58; sentence planning using description - referring expression generation - 7.33; sentence planning using description - and - 8.24; sentence planning using description - aggregation - 8.71; sentence planning using description - microplanning - 10.38; sentence planning using description - NLG - 7.22,"{'CumulativeMethodScore': 0.6168895142189667, 'CumulativeTaskScore': 0.6453775282877794, 'CumulativeMethodTaskPairScore': 0.958554307249208}"
Part-of-Speech Tagging with Two Sequential Transducers,"We present a method of constructing and using a cascade consisting of a left-
and a right-sequential finite-state transducer (FST), T1 and T2, for
part-of-speech (POS) disambiguation. Compared to an HMM, this FST cascade has
the advantage of significantly higher processing speed, but at the cost of
slightly lower accuracy. Applications such as Information Retrieval, where the
speed can be more important than accuracy, could benefit from this approach.
  In the process of tagging, we first assign every word a unique ambiguity
class c_i that can be looked up in a lexicon encoded by a sequential FST. Every
c_i is denoted by a single symbol, e.g. [ADJ_NOUN], although it represents a
set of alternative tags that a given word can occur with. The sequence of the
c_i of all words of one sentence is the input to our FST cascade. It is mapped
by T1, from left to right, to a sequence of reduced ambiguity classes r_i.
Every r_i is denoted by a single symbol, although it represents a set of
alternative tags. Intuitively, T1 eliminates the less likely tags from c_i,
thus creating r_i. Finally, T2 maps the sequence of r_i, from right to left, to
a sequence of single POS tags t_i. Intuitively, T2 selects the most likely t_i
from every r_i.
  The probabilities of all t_i, r_i, and c_i are used only at compile time, not
at run time. They do not (directly) occur in the FSTs, but are ""implicitly
contained"" in their structure.",T1 - 0.77; T2 POS - 1.70; T2 - 0.61; HMM - 0.00,Part-of-Speech Tagging - 0.00; Ċpart-of-speech (POS) disambiguation - 2.22; Information Retrieval - 0.00,T1 - Information Retrieval - 4.79; T2 - Information Retrieval - 3.78; HMM - Information Retrieval - 0.00,"{'CumulativeMethodScore': 0.5916690584019668, 'CumulativeTaskScore': 0.6085412672068002, 'CumulativeMethodTaskPairScore': 0.515276625799117}"
Combining semantic and syntactic structure for language modeling,"Structured language models for speech recognition have been shown to remedy
the weaknesses of n-gram models. All current structured language models are,
however, limited in that they do not take into account dependencies between
non-headwords. We show that non-headword dependencies contribute to
significantly improved word error rate, and that a data-oriented parsing model
trained on semantically and syntactically annotated data can exploit these
dependencies. This paper also contains the first DOP model trained by means of
a maximum likelihood reestimation procedure, which solves some of the
theoretical shortcomings of previous DOP models.",DOP - 0.00; D - 0.00,language modeling - 0.00; speech recognition - 0.00,DOP - speech recognition - 0.00; D - speech recognition - 0.00,"{'CumulativeMethodScore': 0.42968098895391627, 'CumulativeTaskScore': 0.4437547683612104, 'CumulativeMethodTaskPairScore': 0.4405709248069154}"
Part of Speech Tagging in Thai Language Using Support Vector Machine,"The elastic-input neuro tagger and hybrid tagger, combined with a neural
network and Brill's error-driven learning, have already been proposed for the
purpose of constructing a practical tagger using as little training data as
possible. When a small Thai corpus is used for training, these taggers have
tagging accuracies of 94.4% and 95.5% (accounting only for the ambiguous words
in terms of the part of speech), respectively. In this study, in order to
construct more accurate taggers we developed new tagging methods using three
machine learning methods: the decision-list, maximum entropy, and support
vector machine methods. We then performed tagging experiments by using these
methods. Our results showed that the support vector machine method has the best
precision (96.1%), and that it is capable of improving the accuracy of tagging
in the Thai language. Finally, we theoretically examined all these methods and
discussed how the improvements were achived.",decision-list - 1.35,Part of Speech Tagging - 3.09; Ċtagging - 1.31; tagging - 0.00,decision-list - tagging - 3.49,"{'CumulativeMethodScore': 0.5007594744766694, 'CumulativeTaskScore': 0.7494230382504482, 'CumulativeMethodTaskPairScore': 0.47084738140807475}"
Computational Phonology,"Phonology, as it is practiced, is deeply computational. Phonological analysis
is data-intensive and the resulting models are nothing other than specialized
data structures and algorithms. In the past, phonological computation -
managing data and developing analyses - was done manually with pencil and
paper. Increasingly, with the proliferation of affordable computers, IPA fonts
and drawing software, phonologists are seeking to move their computation work
online. Computational Phonology provides the theoretical and technological
framework for this migration, building on methodologies and tools from
computational linguistics. This piece consists of an apology for computational
phonology, a history, and an overview of current research.",Computational PhonologyĊ - 6.15,Phonology - 7.61,Computational PhonologyĊ - Phonology - 13.76,"{'CumulativeMethodScore': 0.7352202617102483, 'CumulativeTaskScore': 0.8867716786691588, 'CumulativeMethodTaskPairScore': 0.5604044104355106}"
An Approach for Resource Sharing in Multilingual NLP,"In this paper we describe an approach for the analysis of documents in German
and English with a shared pool of resources. For the analysis of German
documents we use a document suite, which supports the user in tasks like
information retrieval and information extraction. The core of the document
suite is based on our tool XDOC. Now we want to exploit these methods for the
analysis of English documents as well. For this aim we need a multilingual
presentation format of the resources. These resources must be transformed into
an unified format, in which we can set additional information about linguistic
characteristics of the language depending on the analyzed documents. In this
paper we describe our approach for such an exchange model for multilingual
resources based on XML.",XDOC - 7.04,information extraction - 0.00; information retrieval - 0.00,XDOC - information extraction - 10.79; XDOC - information retrieval - 10.42,"{'CumulativeMethodScore': 0.7705825761700982, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.6232853628459489}"
A Public Reference Implementation of the RAP Anaphora Resolution Algorithm,"This paper describes a standalone, publicly-available implementation of the
Resolution of Anaphora Procedure (RAP) given by Lappin and Leass (1994). The
RAP algorithm resolves third person pronouns, lexical anaphors, and identifies
pleonastic pronouns. Our implementation, JavaRAP, fills a current need in
anaphora resolution research by providing a reference implementation that can
be benchmarked against current algorithms. The implementation uses the
standard, publicly available Charniak (2000) parser as input, and generates a
list of anaphora-antecedent pairs as output. Alternately, an in-place
annotation or substitution of the anaphors with their antecedents can be
produced. Evaluation on the MUC-6 co-reference task shows that JavaRAP has an
accuracy of 57.9%, similar to the performance given previously in the
literature (e.g., Preiss 2002).",( - 0.00; RAP - 0.00; ĊRAP - 0.44; JavaRAP - 0.00; RAP Anaphora Resolution - 0.00,ĊResolution of Anaphora Procedure - 2.71; Ċanaphora resolution - 1.22; co-reference - 0.00,( - co-reference - 0.00,"{'CumulativeMethodScore': 0.4527310320916245, 'CumulativeTaskScore': 0.7219583135325511, 'CumulativeMethodTaskPairScore': 0.440570890551996}"
Unsupervised Topic Adaptation for Lecture Speech Retrieval,"We are developing a cross-media information retrieval system, in which users
can view specific segments of lecture videos by submitting text queries. To
produce a text index, the audio track is extracted from a lecture video and a
transcription is generated by automatic speech recognition. In this paper, to
improve the quality of our retrieval system, we extensively investigate the
effects of adapting acoustic and language models on speech recognition. We
perform an MLLR-based method to adapt an acoustic model. To obtain a corpus for
language model adaptation, we use the textbook for a target lecture to search a
Web collection for the pages associated with the lecture topic. We show the
effectiveness of our method by means of experiments.",MLLR - 0.90,automatic speech recognition - 0.00; speech recognition - 0.00,MLLR - automatic speech recognition - 1.23; MLLR - speech recognition - 1.49,"{'CumulativeMethodScore': 0.4772000135393855, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.4640959544475065}"
"An Anthological Review of Research Utilizing MontyLingua, a Python-Based End-to-End Text Processor","MontyLingua, an integral part of ConceptNet which is currently the largest
commonsense knowledge base, is an English text processor developed using Python
programming language in MIT Media Lab. The main feature of MontyLingua is the
coverage for all aspects of English text processing from raw input text to
semantic meanings and summary generation, yet each component in MontyLingua is
loosely-coupled to each other at the architectural and code level, which
enabled individual components to be used independently or substituted. However,
there has been no review exploring the role of MontyLingua in recent research
work utilizing it. This paper aims to review the use of and roles played by
MontyLingua and its components in research work published in 19 articles
between October 2004 and August 2006. We had observed a diversified use of
MontyLingua in many different areas, both generic and domain-specific. Although
the use of text summarizing component had not been observe, we are optimistic
that it will have a crucial role in managing the current trend of information
overload in future research.",ĊMontyLingua - 4.48; MontyLingua - 3.27,text summarizing - 0.24,ĊMontyLingua - text summarizing - 7.59,"{'CumulativeMethodScore': 0.7961060002588369, 'CumulativeTaskScore': 0.4612718617938877, 'CumulativeMethodTaskPairScore': 0.5066862241424414}"
Framework and Resources for Natural Language Parser Evaluation,"Because of the wide variety of contemporary practices used in the automatic
syntactic parsing of natural languages, it has become necessary to analyze and
evaluate the strengths and weaknesses of different approaches. This research is
all the more necessary because there are currently no genre- and
domain-independent parsers that are able to analyze unrestricted text with 100%
preciseness (I use this term to refer to the correctness of analyses assigned
by a parser). All these factors create a need for methods and resources that
can be used to evaluate and compare parsing systems. This research describes:
(1) A theoretical analysis of current achievements in parsing and parser
evaluation. (2) A framework (called FEPa) that can be used to carry out
practical parser evaluations and comparisons. (3) A set of new evaluation
resources: FiEval is a Finnish treebank under construction, and MGTS and RobSet
are parser evaluation resources in English. (4) The results of experiments in
which the developed evaluation framework and the two resources for English were
used for evaluating a set of selected parsers.",FEPa - 2.52,Ċsyntactic parsing - 2.07; parsing - 0.00; automatic - 0.00,FEPa - parsing - 5.49; FEPa - automatic - 5.17,"{'CumulativeMethodScore': 0.5627358112956042, 'CumulativeTaskScore': 0.5977050707585401, 'CumulativeMethodTaskPairScore': 0.5335549906536902}"
Methods to integrate a language model with semantic information for a word prediction component,"Most current word prediction systems make use of n-gram language models (LM)
to estimate the probability of the following word in a phrase. In the past
years there have been many attempts to enrich such language models with further
syntactic or semantic information. We want to explore the predictive powers of
Latent Semantic Analysis (LSA), a method that has been shown to provide
reliable information on long-distance semantic dependencies between words in a
context. We present and evaluate here several methods that integrate LSA-based
information with a standard language model: a semantic cache, partial
reranking, and different forms of interpolation. We found that all methods show
significant improvements, compared to the 4-gram baseline, and most of them to
a simple cache model as well.",baseline - 0.00,word prediction - 0.00,baseline - word prediction - 0.00,"{'CumulativeMethodScore': 0.4296810343552248, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.4405709115750277}"
A chain dictionary method for Word Sense Disambiguation and applications,"A large class of unsupervised algorithms for Word Sense Disambiguation (WSD)
is that of dictionary-based methods. Various algorithms have as the root Lesk's
algorithm, which exploits the sense definitions in the dictionary directly. Our
approach uses the lexical base WordNet for a new algorithm originated in
Lesk's, namely ""chain algorithm for disambiguation of all words"", CHAD. We show
how translation from a language into another one and also text entailment
verification could be accomplished by this disambiguation.",CHAD - 1.29,translation - 0.00; WSD - 0.00; Word Sense Disambiguation - 0.00; text entailmentĊverification - 3.62,CHAD - translation - 5.49,"{'CumulativeMethodScore': 0.4974225843222626, 'CumulativeTaskScore': 0.7030059245845208, 'CumulativeMethodTaskPairScore': 0.48832980486114735}"
Une grammaire formelle du créole martiniquais pour la génération automatique,"In this article, some first elements of a computational modelling of the
grammar of the Martiniquese French Creole dialect are presented. The sources of
inspiration for the modelling is the functional description given by Damoiseau
(1984), and Pinalie's & Bernabe's (1999) grammar manual. Based on earlier works
in text generation (Vaillant, 1997), a unification grammar formalism, namely
Tree Adjoining Grammars (TAG), and a modelling of lexical functional categories
based on syntactic and semantic properties, are used to implement a grammar of
Martiniquese Creole which is used in a prototype of text generation system. One
of the main applications of the system could be its use as a tool software
supporting the task of learning Creole as a second language. -- Nous
pr\'esenterons dans cette communication les premiers travaux de mod\'elisation
informatique d'une grammaire de la langue cr\'eole martiniquaise, en nous
inspirant des descriptions fonctionnelles de Damoiseau (1984) ainsi que du
manuel de Pinalie & Bernab\'e (1999). Prenant appui sur des travaux
ant\'erieurs en g\'en\'eration de texte (Vaillant, 1997), nous utilisons un
formalisme de grammaires d'unification, les grammaires d'adjonction d'arbres
(TAG d'apr\`es l'acronyme anglais), ainsi qu'une mod\'elisation de cat\'egories
lexicales fonctionnelles \`a base syntaxico-s\'emantique, pour mettre en oeuvre
une grammaire du cr\'eole martiniquais utilisable dans une maquette de
syst\`eme de g\'en\'eration automatique. L'un des int\'er\^ets principaux de ce
syst\`eme pourrait \^etre son utilisation comme logiciel outil pour l'aide \`a
l'apprentissage du cr\'eole en tant que langue seconde.",TAG - 0.00; ĊTree Adjoining Grammars - 4.85,text generation - 0.00,TAG - text generation - 0.00; ĊTree Adjoining Grammars - text generation - 4.85,"{'CumulativeMethodScore': 0.6784120025839268, 'CumulativeTaskScore': 0.44375458208434937, 'CumulativeMethodTaskPairScore': 0.4827704162064651}"
What's in a Message?,"In this paper we present the first step in a larger series of experiments for
the induction of predicate/argument structures. The structures that we are
inducing are very similar to the conceptual structures that are used in Frame
Semantics (such as FrameNet). Those structures are called messages and they
were previously used in the context of a multi-document summarization system of
evolving events. The series of experiments that we are proposing are
essentially composed from two stages. In the first stage we are trying to
extract a representative vocabulary of words. This vocabulary is later used in
the second stage, during which we apply to it various clustering approaches in
order to identify the clusters of predicates and arguments--or frames and
semantic roles, to use the jargon of Frame Semantics. This paper presents in
detail and evaluates the first stage.",FrameNet - 1.82,induction of predicate/argument structuresĊ - 2.64; summarization - 0.00,FrameNet - summarization - 4.68,"{'CumulativeMethodScore': 0.5254870593294034, 'CumulativeTaskScore': 0.6377531611731589, 'CumulativeMethodTaskPairScore': 0.48126673339297077}"
Induction of Word and Phrase Alignments for Automatic Document Summarization,"Current research in automatic single document summarization is dominated by
two effective, yet naive approaches: summarization by sentence extraction, and
headline generation via bag-of-words models. While successful in some tasks,
neither of these models is able to adequately capture the large set of
linguistic devices utilized by humans when they produce summaries. One possible
explanation for the widespread use of these models is that good techniques have
been developed to extract appropriate training data for them from existing
document/abstract and document/headline corpora. We believe that future
progress in automatic summarization will be driven both by the development of
more sophisticated, linguistically informed models, as well as a more effective
leveraging of document/abstract corpora. In order to open the doors to
simultaneously achieving both of these goals, we have developed techniques for
automatically producing word-to-word and phrase-to-phrase alignments between
documents and their human-written abstracts. These alignments make explicit the
correspondences that exist in such document/abstract pairs, and create a
potentially rich data source from which complex summarization algorithms may
learn. This paper describes experiments we have carried out to analyze the
ability of humans to perform such alignments, and based on these analyses, we
describe experiments for creating them automatically. Our model for the
alignment task is based on an extension of the standard hidden Markov model,
and learns to create alignments in a completely unsupervised fashion. We
describe our model in detail and present experimental results that show that
our model is able to learn to reliably identify word- and phrase-level
alignments in a corpus of <document,abstract> pairs.",hidden Markov - 0.00,automatic single document summarization - 1.21; Document Summarization - 0.00; automatic summarization - 0.00; Ċalignment - 1.72; summarization - 0.00,hidden Markov - automatic single document summarization - 2.75; hidden Markov - automatic summarization - 0.00; hidden Markov - summarization - 0.00,"{'CumulativeMethodScore': 0.42968109135249183, 'CumulativeTaskScore': 0.6581094091939921, 'CumulativeMethodTaskPairScore': 0.4644510451868167}"
A Noisy-Channel Model for Document Compression,"We present a document compression system that uses a hierarchical
noisy-channel model of text production. Our compression system first
automatically derives the syntactic structure of each sentence and the overall
discourse structure of the text given as input. The system then uses a
statistical hierarchical model of text production in order to drop
non-important syntactic and discourse constituents so as to generate coherent,
grammatical document compressions of arbitrary length. The system outperforms
both a baseline and a sentence-based compression system that operates by
simplifying sequentially all sentences in a text. Our results support the claim
that discourse knowledge plays an important role in document summarization.",baseline - 0.00,document summarization - 0.00; document compression - 0.48; Document Compression - 0.83,baseline - document summarization - 0.00; baseline - document compression - 1.22,"{'CumulativeMethodScore': 0.4296809538486781, 'CumulativeTaskScore': 0.5414782770178744, 'CumulativeMethodTaskPairScore': 0.4510878836861219}"
Pattern Based Term Extraction Using ACABIT System,"In this paper, we propose a pattern-based term extraction approach for
Japanese, applying ACABIT system originally developed for French. The proposed
approach evaluates termhood using morphological patterns of basic terms and
term variants. After extracting term candidates, ACABIT system filters out
non-terms from the candidates based on log-likelihood. This approach is
suitable for Japanese term extraction because most of Japanese terms are
compound nouns or simple phrasal patterns.",ACABIT extraction - 5.87; ACABIT - 6.47,term extraction - 0.82,ACABIT extraction - term extraction - 9.63; ACABIT - term extraction - 13.13,"{'CumulativeMethodScore': 0.9118566420741714, 'CumulativeTaskScore': 0.5049988482132114, 'CumulativeMethodTaskPairScore': 0.6360448291047801}"
Multiple Retrieval Models and Regression Models for Prior Art Search,"This paper presents the system called PATATRAS (PATent and Article Tracking,
Retrieval and AnalysiS) realized for the IP track of CLEF 2009. Our approach
presents three main characteristics: 1. The usage of multiple retrieval models
(KL, Okapi) and term index definitions (lemma, phrase, concept) for the three
languages considered in the present track (English, French, German) producing
ten different sets of ranked results. 2. The merging of the different results
based on multiple regression models using an additional validation set created
from the patent collection. 3. The exploitation of patent metadata and of the
citation structures for creating restricted initial working sets of patents and
for producing a final re-ranking regression model. As we exploit specific
metadata of the patent documents and the citation relations only at the
creation of initial working sets and during the final post ranking step, our
architecture remains generic and easy to extend.","PATATRAS - 1.96; Okapi - 0.87; PATent and Article Tracking,ĊRetrieval and AnalysiS - 6.59; KL - 0.00",re-ranking - 0.43,"PATATRAS - re-ranking - 8.16; Okapi - re-ranking - 6.63; PATent and Article Tracking,ĊRetrieval and AnalysiS - re-ranking - 9.48; KL - re-ranking - 3.77","{'CumulativeMethodScore': 0.8474826721285155, 'CumulativeTaskScore': 0.4760434809069569, 'CumulativeMethodTaskPairScore': 0.6776378580922456}"
Standards for Language Resources,"This paper presents an abstract data model for linguistic annotations and its
implementation using XML, RDF and related standards; and to outline the work of
a newly formed committee of the International Standards Organization (ISO),
ISO/TC 37/SC 4 Language Resource Management, which will use this work as its
starting point. The primary motive for presenting the latter is to solicit the
participation of members of the research community to contribute to the work of
the committee.",RDFISO/TC 37/SC 4 - 9.54; XML - 0.24,Language Resource Management - 2.08,XML - Language Resource Management - 6.78,"{'CumulativeMethodScore': 0.8571482305096104, 'CumulativeTaskScore': 0.598583429828447, 'CumulativeMethodTaskPairScore': 0.49965286153796795}"
Towards Effective Sentence Simplification for Automatic Processing of Biomedical Text,"The complexity of sentences characteristic to biomedical articles poses a
challenge to natural language parsers, which are typically trained on
large-scale corpora of non-technical text. We propose a text simplification
process, bioSimplify, that seeks to reduce the complexity of sentences in
biomedical abstracts in order to improve the performance of syntactic parsers
on the processed sentences. Syntactic parsing is typically one of the first
steps in a text mining pipeline. Thus, any improvement in performance would
have a ripple effect over all processing steps. We evaluated our method using a
corpus of biomedical sentences annotated with syntactic links. Our empirical
results show an improvement of 2.90% for the Charniak-McClosky parser and of
4.23% for the Link Grammar parser when processing simplified sentences rather
than the original sentences in the corpus.",Link Grammar - 0.00; bioSim - 0.00; Charniak-McClosky - 0.00,Sentence Simplification - 0.00; text simplification - 0.00; Syntactic parsing - 0.00,bioSim - Syntactic parsing - 0.00,"{'CumulativeMethodScore': 0.4296809076804205, 'CumulativeTaskScore': 0.4437546282581649, 'CumulativeMethodTaskPairScore': 0.440570890551996}"
Approximations to the MMI criterion and their effect on lattice-based MMI,"Maximum mutual information (MMI) is a model selection criterion used for
hidden Markov model (HMM) parameter estimation that was developed more than
twenty years ago as a discriminative alternative to the maximum likelihood
criterion for HMM-based speech recognition. It has been shown in the speech
recognition literature that parameter estimation using the current MMI
paradigm, lattice-based MMI, consistently outperforms maximum likelihood
estimation, but this is at the expense of undesirable convergence properties.
In particular, recognition performance is sensitive to the number of times that
the iterative MMI estimation algorithm, extended Baum-Welch, is performed. In
fact, too many iterations of extended Baum-Welch will lead to degraded
performance, despite the fact that the MMI criterion improves at each
iteration. This phenomenon is at variance with the analogous behavior of
maximum likelihood estimation -- at least for the HMMs used in speech
recognition -- and it has previously been attributed to `over fitting'. In this
paper, we present an analysis of lattice-based MMI that demonstrates, first of
all, that the asymptotic behavior of lattice-based MMI is much worse than was
previously understood, i.e. it does not appear to converge at all, and, second
of all, that this is not due to `over fitting'. Instead, we demonstrate that
the `over fitting' phenomenon is the result of standard methodology that
exacerbates the poor behavior of two key approximations in the lattice-based
MMI machinery. We also demonstrate that if we modify the standard methodology
to improve the validity of these approximations, then the convergence
properties of lattice-based MMI become benign without sacrificing improvements
to recognition accuracy.",extended Baum-Welchum - 2.79; ĊMMI - 0.58; lattice-based MMI - 0.76,speechĊrecognitionice-based MMI - 2.17; speechĊrecognition - 0.46; speech recognition - 0.00,lattice-based MMI - speech recognition - 2.60,"{'CumulativeMethodScore': 0.6441899028178022, 'CumulativeTaskScore': 0.6370731058952237, 'CumulativeMethodTaskPairScore': 0.4631464715748238}"
Why has (reasonably accurate) Automatic Speech Recognition been so hard to achieve?,"Hidden Markov models (HMMs) have been successfully applied to automatic
speech recognition for more than 35 years in spite of the fact that a key HMM
assumption -- the statistical independence of frames -- is obviously violated
by speech data. In fact, this data/model mismatch has inspired many attempts to
modify or replace HMMs with alternative models that are better able to take
into account the statistical dependence of frames. However it is fair to say
that in 2010 the HMM is the consensus model of choice for speech recognition
and that HMMs are at the heart of both commercially available products and
contemporary research systems. In this paper we present a preliminary
exploration aimed at understanding how speech data depart from HMMs and what
effect this departure has on the accuracy of HMM-based speech recognition. Our
analysis uses standard diagnostic tools from the field of statistics --
hypothesis testing, simulation and resampling -- which are rarely used in the
field of speech recognition. Our main result, obtained by novel manipulations
of real and resampled data, demonstrates that real data have statistical
dependency and that this dependency is responsible for significant numbers of
recognition errors. We also demonstrate, using simulation and resampling, that
if we `remove' the statistical dependency from data, then the resulting
recognition error rates become negligible. Taken together, these results
suggest that a better understanding of the structure of the statistical
dependency in speech data is a crucial first step towards improving HMM-based
speech recognition.",HMM - 0.00,Ċspeech recognition - 1.15; automaticĊspeech recognition - 1.67; speech recognition - 0.00; Ċ rates - 0.83; Automatic Speech Recognition - 0.00; Ċ - 0.00,HMM - automaticĊspeech recognition - 4.55; HMM - speech recognition - 0.00; HMM - Ċ rates - 3.56; HMM - Ċ - 0.00; HMM - Ċspeech recognition - 3.96,"{'CumulativeMethodScore': 0.4296809076804205, 'CumulativeTaskScore': 0.7049585656490625, 'CumulativeMethodTaskPairScore': 0.5457704174987751}"
Learning Recursive Segments for Discourse Parsing,"Automatically detecting discourse segments is an important preliminary step
towards full discourse parsing. Previous research on discourse segmentation
have relied on the assumption that elementary discourse units (EDUs) in a
document always form a linear sequence (i.e., they can never be nested).
Unfortunately, this assumption turns out to be too strong, for some theories of
discourse like SDRT allows for nested discourse units. In this paper, we
present a simple approach to discourse segmentation that is able to produce
nested EDUs. Our approach builds on standard multi-class classification
techniques combined with a simple repairing heuristic that enforces global
coherence. Our system was developed and evaluated on the first round of
annotations provided by the French Annodis project (an ongoing effort to create
a discourse bank for French). Cross-validated on only 47 documents (1,445
EDUs), our system achieves encouraging performance results with an F-score of
73% for finding EDUs.",SDRT - 0.70,Discourse Parsing - 1.32; discourse segmentation - 0.00,SDRT - discourse segmentation - 1.10,"{'CumulativeMethodScore': 0.4665339280723043, 'CumulativeTaskScore': 0.5427776227686549, 'CumulativeMethodTaskPairScore': 0.45008267342592123}"
